cohort_month,activity_month,active_customers,cohort_customers,retention_pct
2016-09,2016-09,1,1,100.0
2016-10,2016-10,265,265,100.0
2016-12,2016-12,1,1,100.0
2017-01,2017-01,750,750,100.0
2017-02,2017-02,1653,1653,100.0
2017-03,2017-03,2546,2546,100.0
2017-04,2017-04,2303,2303,100.0
2017-05,2017-05,3546,3546,100.0
2017-06,2017-06,3135,3135,100.0
2017-07,2017-07,3872,3872,100.0
2017-08,2017-08,4193,4193,100.0
2017-09,2017-09,4150,4150,100.0
2017-10,2017-10,4478,4478,100.0
2017-11,2017-11,7289,7289,100.0
2017-12,2017-12,5513,5513,100.0
2018-01,2018-01,7069,7069,100.0
2018-02,2018-02,6555,6555,100.0
2018-03,2018-03,7003,7003,100.0
2018-04,2018-04,6798,6798,100.0
2018-05,2018-05,6749,6749,100.0
2018-06,2018-06,6099,6099,100.0
2018-07,2018-07,6159,6159,100.0
2018-08,2018-08,6351,6351,100.0
