category,total_orders,gross_revenue,gross_profit,margin_pct
perfumery,3086,390144.65,195072.81,50.0
watches_gifts,5495,1166176.98,524780.49,45.0
health_beauty,8647,1233131.72,554913.41,45.0
housewares,5743,615628.69,258563.8,42.0
bed_bath_table,9272,1023434.76,409371.58,40.0
sports_leisure,7530,954852.55,362845.72,38.0
toys,3804,471286.48,164948.63,35.0
tablets_printing_image,79,7528.41,2634.84,35.0
stationery,2264,223788.69,78325.65,35.0
small_appliances_home_oven_and_coffee,72,46589.56,16306.83,35.0
small_appliances,609,182754.12,63964.87,35.0
signaling_and_security,138,21315.05,7460.0,35.0
security_and_services,2,283.29,99.15,35.0
pet_shop,1688,211695.64,74094.46,35.0
party_supplies,38,4465.19,1562.81,35.0
office_furniture,1254,268154.31,93853.67,35.0
musical_instruments,611,184315.74,64509.41,35.0
music,38,6034.35,2112.11,35.0
market_place,274,27795.77,9728.54,35.0
luggage_accessories,1019,138701.63,48545.75,35.0
la_cuisine,13,2054.99,719.3,35.0
kitchen_dining_laundry_garden_furniture,241,45531.98,15936.26,35.0
industry_commerce_and_business,232,38498.81,13474.66,35.0
home_construction,483,81407.57,28492.87,35.0
home_confort,392,58008.45,20303.09,35.0
home_comfort_2,24,760.27,266.09,35.0
home_appliances_2,227,107953.95,37782.23,35.0
home_appliances,747,78832.48,27590.84,35.0
garden_tools,3448,470495.28,164672.95,35.0
furniture_mattress_and_upholstery,37,4323.38,1513.23,35.0
furniture_living_room,414,67350.7,23572.9,35.0
furniture_decor,6307,711927.69,249174.59,35.0
furniture_bedroom,90,19051.8,6668.13,35.0
food_drink,221,14942.88,5230.03,35.0
food,441,28731.15,10056.05,35.0
flowers,29,1110.04,388.51,35.0
fixed_telephony,212,55315.21,19360.29,35.0
fashion_underwear_beach,117,9305.95,3257.05,35.0
fashion_sport,26,2094.52,733.03,35.0
fashion_shoes,235,23001.46,8050.56,35.0
fashion_male_clothing,106,10452.33,3658.34,35.0
fashion_childrens_clothes,7,519.95,181.98,35.0
fashion_bags_accessories,1820,149329.39,52265.13,35.0
fashio_female_clothing,36,2634.94,922.23,35.0
electronics,2517,155043.93,54265.25,35.0
dvds_blu_ray,56,4542.59,1589.9,35.0
drinks,287,21529.84,7535.17,35.0
diapers_and_hygiene,25,1500.79,525.29,35.0
costruction_tools_tools,97,15903.95,5566.36,35.0
costruction_tools_garden,190,25096.28,8783.64,35.0
cool_stuff,3559,610204.1,213571.83,35.0
construction_tools_safety,159,38773.22,13570.29,35.0
construction_tools_lights,242,39957.0,13984.99,35.0
construction_tools_construction,736,142108.49,49737.64,35.0
consoles_games,1018,148003.37,51801.02,35.0
computers,177,218684.14,76539.56,35.0
cine_photo,63,6674.47,2335.97,35.0
christmas_supplies,125,8737.84,3058.23,35.0
cds_dvds_musicals,12,730.0,255.5,35.0
books_technical,256,18702.23,6545.77,35.0
books_imported,50,4418.86,1546.6,35.0
books_general_interest,496,45302.15,15855.91,35.0
baby,2809,400421.84,140148.28,35.0
audio,348,50570.6,17699.6,35.0
arts_and_craftmanship,23,1814.01,634.9,35.0
art,195,23657.3,8280.06,35.0
air_conditioning,246,53323.56,18663.46,35.0
agro_industry_and_commerce,177,70566.1,24698.14,35.0
,1412,175967.21,61587.02,35.0
auto,3810,578966.65,173690.04,30.0
computers_accessories,6530,888724.61,222181.37,25.0
telephony,4093,309860.23,61973.42,20.0
